audio_path,child_id,timepoint_norm,label,kchi_total_dur,kchi_n_segments,kchi_mean_seg_dur,kchi_max_seg_dur,kchi_proportion,phon_n_utterances,phon_n_total,phon_n_unique,phon_n_consonants,phon_n_vowels,phon_cv_ratio,phon_mean_per_utt,phon_max_per_utt,phon_unique_ratio,sim_weighted_mean,sim_max,sim_top3_mean,prob,pred_label,#_adults,#_children,#_people_background,#_people_interacting,interaction,has_interaction,outcome,task,session,multi_child
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A2P7X9N8L7/ses-01/beh/sub-A2P7X9N8L7_ses-01_task-motorplay_run-07_audio.wav,A2P7X9N8L7,14_month,0,2.22,3,0.7399999999999999,0.88,0.028094620022637,4,6,5,2,4,0.5,1.5,2,0.8333333333333334,0.518040469136896,0.5760212184952734,0.5096297401621449,0.7454893199498464,1,1,1,0,2,yes,True,FP,motorplay,01,False
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,A6Y4Y7X2G1,14_month,0,2.46,3,0.82,0.98,0.0554968063956685,3,3,2,2,1,2.0,1.0,1,0.6666666666666666,0.4724776773477654,0.5411079727660649,0.4572766496756339,0.8658535067012751,1,0,1,0,1,yes,True,FP,generalsocialcommunicationinteraction,01,False
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-motorplay_run-03_audio.wav,B1S3L8Q7Y6,14_month,0,4.76,5,0.952,1.96,0.1063808983710424,8,5,2,0,5,0.0,0.625,1,0.4,0.3228616427419187,0.5730982571487365,0.4226821707040022,0.9916338329052372,1,0,2,0,1,yes,True,FP,motorplay,01,True
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1I8N8L4Q4/ses-02/beh/sub-C1I8N8L4Q4_ses-02_task-other_run-01_audio.wav,C1I8N8L4Q4,36_month,0,6.16,4,1.54,2.88,0.4151625309076204,4,11,9,5,6,0.8333333333333334,2.75,6,0.8181818181818182,0.5131525111129088,0.5412828026168925,0.5160849861024894,0.9468458266647626,1,0,2,0,0,no,False,FP,other,02,True
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E3O3H8O7H4/ses-01/beh/sub-E3O3H8O7H4_ses-01_task-toyplay_run-01_audio.wav,E3O3H8O7H4,14_month,0,1.16,2,0.5800000000000001,0.68,0.0370052098390791,2,5,4,2,3,0.6666666666666666,2.5,3,0.8,0.4669366890779414,0.4955193541856305,0.4609819671805062,0.558931271908588,1,0,2,0,2,yes,True,FP,toyplay,01,True
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-motorplay_run-05_audio.wav,F3N4H0K1Z1,36_month,0,4.140000000000001,2,2.0700000000000003,3.58,0.0982882647610455,3,19,16,10,9,1.1111111111111112,6.333333333333333,15,0.8421052631578947,0.3074561188733061,0.309444582172741,0.3020943696194728,0.8705126282007145,1,0,2,0,1,yes,True,FP,motorplay,02,True
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F6J0V8B6S4/ses-02/beh/sub-F6J0V8B6S4_ses-02_task-generalsocialcommunicationinteraction_run-02_audio.wav,F6J0V8B6S4,36_month,0,1.28,2,0.64,0.68,0.0237403033380164,2,6,3,4,2,2.0,3.0,3,0.5,0.1953577471089755,0.2245311079047322,0.1970738271557847,0.51842711238395,1,1,1,0,2,yes,True,FP,generalsocialcommunicationinteraction,02,False
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F8N7H3T0O1/ses-01/beh/sub-F8N7H3T0O1_ses-01_task-motorplay_run-02_audio.wav,F8N7H3T0O1,14_month,0,0.8,1,0.8,0.8,0.1644736842105263,1,7,5,5,2,2.5,7.0,7,0.7142857142857143,0.3555650017198549,0.3555650017198549,0.3555650017198549,0.6000076540866276,1,0,1,1,1,yes,True,FP,motorplay,01,False
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F8N7H3T0O1/ses-02/beh/sub-F8N7H3T0O1_ses-02_task-motorplay_run-01_audio.wav,F8N7H3T0O1,36_month,0,2.6,3,0.8666666666666666,1.32,0.060548634671953,3,7,7,4,3,1.3333333333333333,2.333333333333333,4,1.0,0.4677034738051723,0.5211518425293965,0.4427167037054469,0.7316689217402214,1,0,2,0,0,no,False,FP,motorplay,02,True
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N2H7T0A7U5/ses-02/beh/sub-N2H7T0A7U5_ses-02_task-toyplay_run-03_audio.wav,N2H7T0A7U5,36_month,0,2.24,4,0.56,0.68,0.0429704781784545,4,4,4,1,3,0.3333333333333333,1.0,2,1.0,0.4295040038903232,0.5510019874951742,0.4771174258451102,0.647711850636858,1,0,1,0,0,no,False,FP,toyplay,02,False
